startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1982-01-01 21:23:00","1982-01-01 21:23:00","Agosto 1982: México anuncia default-programa de &#34;salvataje&#34;","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"1983-01-01 15:36:00","1983-01-01 15:36:00","1983: Plan Alimentario Nacional","<p></p>","50","","shapes/triangle_gray.png","","ye","1","100","0",""
"1983-12-10 15:36:00","1983-12-10 15:36:00","10-12-83 Presidencia Ricardo Raul Alfonsín","<p></p>","75","[{""url"":""https://drive.google.com/open?id=1O4kcpUJ3oBnQhKv1O3YhSqZjnkDaiuR4"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1983-12-10 22:41:00","1983-12-10 22:41:00","10-12-83 Ministro de Economía Bernardo Grínspun (hasta 18-02-85)","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"1984-01-01 15:36:00","1984-01-01 15:36:00","1984: Aumento del costo de vida","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"1984-01-23 10:35:00","1984-01-23 10:35:00","23-01-84 FMI cancela el acuerdo de stand by","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"1984-03-30 08:46:00","1984-03-30 08:46:00","30-03-84 Prebisch y De Laroisière (FMI) firman un memorándum para presentar a los acreedores","<p></p>","55","","shapes/triangle_gray.png","","da","1","100","0",""
"1984-09-20 05:04:00","1984-09-20 05:04:00","20-09-1984: entrega del Informe de la CONADEP","<p></p>","55","[{""url"":""https://drive.google.com/file/d/1fwOkJDVBq8cP_C08YgLORJIYMnWIyTYW/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1984-10-01 07:54:00","1984-10-01 07:54:00","Oct 1984: Sanción Ley 23.101","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"1984-10-02 01:00:00","1984-10-02 01:00:00","Oct 1984: &#34;Programa para el Crecimiento Sostenido&#34; de Baker","<p></p>","55","","shapes/triangle_gray.png","","mo","1","100","0",""
"1984-11-01 02:57:00","1984-11-01 02:57:00","31-10-1984: asesinato de Indira Gandhi","<p></p>","60","[{""url"":""https://drive.google.com/open?id=1Vd8XgmMQaM_v8N5c1BgRw2PiDdrrMlXH"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
