Evento,Fecha,Link,Link,Link,Clásica,Turismo

Unidad 1
Fundación de YPF-Yacimientos Petrolíferos Fiscales,1922_06_3,https://www.google.com/search?q=la+gesti%C3%B3n+del+General+Enrique+Mosconi+en+Yacimientos+Petrol%C3%ADferos+Fiscales+(YPF)%2C+a+partir+de+su+designaci%C3%B3n+durante+la+presidencia+de+Marcelo+T.+de+Alvear&tbm=isch&ved=2ahUKEwiNv4PFqdPrAhXxLLkGHcQXB5IQ2-cCegQIABAA&oq=la+gesti%C3%B3n+del+General+Enrique+Mosconi+en+Yacimientos+Petrol%C3%ADferos+Fiscales+(YPF)%2C+a+partir+de+su+designaci%C3%B3n+durante+la+presidencia+de+Marcelo+T.+de+Alvear&gs_lcp=CgNpbWcQAzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJzIHCCMQ6gIQJ1D17wJYifcCYKj9AmgBcAB4AIABAIgBAJIBAJgBAKABAaoBC2d3cy13aXotaW1nsAEKwAEB&sclient=img&ei=JDRUX42dGvHZ5OUPxK-ckAk&bih=657&biw=1366#imgrc=b1qCX7KiMwBtpM&imgdii=G5fASEWJGmeFMM,,,Sí,,,,,,,
Reforma Universitaria,1918_06_21,https://unlp.edu.ar/historia/especial_reforma_1918_cronologia-4220,https://www.youtube.com/watch?v=SvhmqqR5bqw,,Sí,,,,,,,
La Semana Trágica (7 al 14 de 01 de 1919),1919_01_7,https://www.infobae.com/historia-argentina/2019/01/07/a-100-anos-de-la-semana-tragica-sangre-muerte-y-horror-en-las-calles-de-buenos-aires/,,,Sí,,,,,,,
El crack del 29 y la Gran Depresión,1929_10_24,https://www.youtube.com/watch?v=sxqzgjizzdo,https://esbolsa.com/blog/videos/crisis-economica-de-1929-gran-crack/,,Sí,,,,,,,
La situación de Argentina en la década de la Gran Guerra,1914_07_28,https://www.youtube.com/watch?v=X6fgIWF8nbk,,,Sí,,,,,,,
Patagonia Trágica (nuevo revuelta),1920_12_1,https://www.youtube.com/watch?v=fBPGvgk3YjA,,,Sí,,Nota: la fecha es fines de 1920. No es una fecha fija,,,,,

Unidad 4
La Gran Depresión del ´30,1930_01_1,https://www.youtube.com/watch?v=uEV3NJoE7nk,https://www.youtube.com/watch?v=yKJrr25pdpY,https://revistaedm.com/verNotaRevistaTeorica/539/la-crisis-de-1929-y-la-gran-depresion-de-la-decada-del-30,Sí,,Hay código QR (1 archivo),,,,,
Plan Pinedo 1940 - “Programa de Reactivación de la Economía Nacional”,1940_11_14,https://aprenderly.com/doc/3233312/caracter%C3%ADsticas-del-%E2%80%9Cplan-pinedo%E2%80%9D,http://www.laprensa.com.ar/455472-El-Plan-Pinedo-de-1940-otra-reforma-que-fracaso-por-falta-de-apoyo-politico.note.aspx,,Sí,,,,,,,
Las relaciones económicas bilaterales de la Argentina a partir de 1939,1939_01_1,http://www.argentina-rree.com/10/10-013.htm,,,Sí,,Nota: la fecha 1939 no es una fecha fija,,,,,
La Argentina y su posición en la Segunda Guerra Mundial,1939_09_1,http://www.laprensa.com.ar/480718-La-Argentina-y-la-II-Guerra-Mundial.note.aspx,,,Sí,,,,,,,LEER!!!
Pacto Roca-Runciman,1933_05_1,https://www.youtube.com/watch?v=dNzuB8-YDQQ&ab_channel=Fabi%C3%A1nChalop,https://www.youtube.com/watch?v=k4C59XgnyRw,,,,,,,,,
El comercio de carnes,1934_1939,http://www.argentina-rree.com/10/10-011.htm,,,Sí,,,,,,,
Guerra de Chaco,1932_09_9,https://www.notimerica.com/politica/noticia-guerra-chaco-conflicto-armado-mas-importante-siglo-xx-iberoamerica-20170510090229.html,https://www.youtube.com/watch?v=YNZjsYvG-2E,,,,,,,,,
Crisis 1929-1930 . En nuevo paradigma económico en Argentina,1930_01_1,https://www.youtube.com/watch?v=5GoEOtKfXOY&ab_channel=JDRF.HISTORIA,,,Sí,,Nota: la fecha 1930 no es una fecha fija,,,,,
"Argentina, la ""década inflame"" (1930-1943",1930_01_1,https://www.youtube.com/watch?v=IWMkxCpAqJo,,,,,Nota: la fecha 1930 no es una fecha fija; en realidad es el período 1930-43,,,,,
Construcción del Obelisco,1936_05_23,https://www.youtube.com/watch?v=lPsId8_WKuM,,,,Sí,,,,,,

Unidad 5
Bombardeo de Plaza de 05 en 1955,1955_06_16,https://youtu.be/OHoW3DNTwco,https://www.youtube.com/watch?v=8tpo08eTVMc,,Sí,,,,,,,
El primer sistema de promoción industrial,1944_06_5,http://www.informeindustrial.com.ar/verNota.aspx?nota=El%20primer%20sistema%20de%20promoci%C3%B3n%20industrial___300,,,Sí,,,,,,,
Acuerdo general sobre comercio y aranceles (GATT) 1947,1947_11_21,https://www.youtube.com/watch?v=BrTWyOv7t50,,,Sí,,,,,,,
Puente aéreo en Berlín,1948_06_24,https://www.youtube.com/watch?v=nwjFSQCrShM,https://fronterasblog.com/2020/01/27/el-puente-aereo-de-berlin-el-milagro-del-aire/,,Sí,,Hay 2 códigos QR (2 archivos),,,,,
Tratado Miranda Eady,1946_09_17,https://www.google.com/search?q=Tratado+Miranda-Eady+(1946)&tbm=isch&ved=2ahUKEwjunfi9jfTrAhVhCbkGHdaEDBgQ2-cCegQIABAA&oq=Tratado+Miranda-Eady+(1946)&gs_lcp=CgNpbWcQA1DpnQFY6Z0BYIOiAWgAcAB4AIABkgGIAZIBkgEDMC4xmAEAoAEBqgELZ3dzLXdpei1pbWfAAQE&sclient=img&ei=6GNlX-6JLeGS5OUP1omywAE#imgrc=pAqgG0bomnnZgM,,,Sí,,,,,,,
Guerra de Vietnam (1-11-1955 al 30-4-1975),1955_11_1,https://eacnur.org/blog/guerra-de-vietnam-resumen-y-principales-consecuencias-tc_alt45664n_o_pstn_o_pst/,https://www.youtube.com/watch?v=BF0zfeFgRZ0,,Sí,,,,,,,
