startdate, enddate, title, description, importance, link, icon, image, date_display, low threshold, high threshold, y_position
"1966-01-01 22:10:00","1966-01-01 22:10:00","Déc.1960: debilitamiento del dólar y de las reservas de oro","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"1966-01-01 22:10:00","1966-01-01 22:10:00","Entre 1965-66: cambio reservas francesas de dólares a oro","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"1966-06-28 18:29:00","1966-06-28 18:29:00","28-06-1966: &#34;Revolución Argentina&#34;","<p></p>","75","[{""url"":""https://drive.google.com/open?id=1tn8va5TIzpliaPO-De7Y_4yiK-x-5ECf"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":""0"",""height"":""0""}","da","1","100","0",""
"1966-06-29 12:00:00","1966-06-29 12:00:00","29-06-1966: Ministro de Economía J. Salimei (hasta 03-01-1967)","<p></p>","60","[{""url"":""https://drive.google.com/open?id=1OTOLbJEb6pJvB-7lmjc1sHBbHBwDeI-6"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1966-06-29 18:29:00","1966-06-29 18:29:00","29-06-1966: asume la presidencia Gral. Onganía (hasta 08-06-1970)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"1966-07-01 22:10:00","1966-07-01 22:10:00","1966: &#34;Revolución Cultural Proletaria&#34; en China (Mao Tse-Tung)","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1VlX5mQ32ZYRFTuMatb1xLTFz4p84t1pH/view"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","ye","1","100","0",""
"1966-07-06 12:00:00","1966-07-06 12:00:00","06-07-1966: creación de la Cámara Argentina de Turismo","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1J-eZI1GxNrLtTb4u23lDmrlX0c_3rBIc/view?usp=sharing"",""label"":""Turismo""}]","shapes/triangle_gray.png","{""src"":""http://guejarsierra.org/wp-content/uploads/2017/03/puntos_informacion.png"",""display_class"":""inline"",""scale"":""25"",""width"":0,""height"":0}","da","1","100","0",""
"1966-07-06 22:10:00","1966-07-06 22:10:00","06-07-1966: fundación Cámara Argentina de Turismo (cont.)","<p></p>","55","[{""url"":""https://drive.google.com/open?id=14O0aIef5HH4t-zEnKyjgzToo1loD0jMI"",""label"":""Turismo""}]","shapes/triangle_gray.png","{""src"":""http://guejarsierra.org/wp-content/uploads/2017/03/puntos_informacion.png"",""display_class"":""inline"",""scale"":""25"",""width"":0,""height"":0}","da","1","100","0",""
"1966-07-29 18:29:00","1966-07-29 18:29:00","29-07-1966: la Noche de los Bastones Largos","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1yE_llrHXnlvDJqfq-xau0e6Hf_3nU7W1/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":""600"",""height"":""600""}","da","1","100","0",""
"1966-07-29 18:29:00","1966-07-29 18:29:00","29-07-1966: la Noche de los Bastones Largos BIS","<p></p>","60","[{""url"":""https://drive.google.com/file/d/1U4RhC6nqm0-zkfre0XVmct3SyKCUlIvw/view?usp=sharing"",""label"":""InformaciÃ³n""}]","shapes/triangle_gray.png","{""src"":""http://www.cooperacion2005.es/wp-content/uploads/2015/09/11949858491812712425information_sign_mo_01.svg_.hi_.png"",""display_class"":""inline"",""scale"":""8"",""width"":0,""height"":0}","da","1","100","0",""
"1967-01-05 07:52:00","1967-01-05 07:52:00","05-01-1967: Ministro de Economía A. Krieger Vasena (hasta 11-06-1969)","<p></p>","60","","shapes/triangle_gray.png","","da","1","100","0",""
"1967-01-21 07:52:00","1967-01-21 07:52:00","21-01-1967: Ley 17.574 creación empresa HIDRONOR para construcción El Chocón, Planicie Banderita y red interconexión","<p></p>","50","","shapes/triangle_gray.png","","da","1","100","0",""
"1967-02-01 07:52:00","1967-02-01 07:52:00","Feb-1967: política exterior de Onganía: Doctrina de la Seguridad Nacional (alineamiento con EU)","<p></p>","50","","shapes/triangle_gray.png","","mo","1","100","0",""
"1967-03-13 18:29:00","1967-03-13 18:29:00","13-03-1967: lanzamiento plan económico Krieger Vasena","<p></p>","65","","shapes/triangle_gray.png","","da","1","100","0",""
